image_name,image_path,cam_num,shift,ref_excelente,ref_bom,ref_ruim,ref_pessimo,pred_label,ev_label_1,ev_label_2,ev_label_3,ev_label_4,ev_label_5
Cam 321 - 21.10.2022 - 22h.jpg,./dataset_pecem_merged/cam_321/Cam 321 - 21.10.2022 - 22h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 23.10-2022 - 02h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 02h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 22.10.2022 - 08h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 08h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 22.10.2022 - 10h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 10h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 22.10.2022 - 12h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 12h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 22.10.2022 - 14h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 14h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 25.10.2022 - 12h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 12h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam 321 - 21.10.2022 - 12h.jpg,./dataset_pecem_merged/cam_321/Cam 321 - 21.10.2022 - 12h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 24.10.2022 - 22h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 22h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 25.10.2022 - 04h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 04h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
